james-mailet,2,1
servicemix-bundles,103,1
airavata,360,135
hadoop,8258,3078
hbase,6206,2061
aurora,362,84
systemml,426,180
myfaces-extcdi,54,29
ranger,1241,290
empiredb,103,34
bookkeeper,437,161
bigtop,1155,3
nifi,1491,467
uima,780,254
struts2,524,103
james-hupa,24,6
turbine,5,1
james-jspf,19,5
polygene,16,10
directory-fortress,61,16
geode,1804,829
knox,586,161
synapse,385,118
tika,649,223
hive,6843,2304
jackrabbit-oak,2135,960
cxf-dosgi,17,7
sentry,578,133
giraph,332,115
easyant,3,0
directory-studio,336,129
lens,395,109
james-mpt,6,0
myfaces-scripting,65,31
wicket,2295,927
isis,361,207
tez,1371,448
kylin,900,270
commons-compress,181,48
crunch,279,131
mina,191,66
rave,151,22
groovy,2755,582
fop,236,97
jclouds,284,150
flume,761,163
opennlp,183,29
curator,109,52
velocity,161,77
james-postage,3,0
ignite,2332,1150
pdfbox,1662,557
derby,2038,713
geronimo,145,47
jetspeed2,376,109
brooklyn,40,17
servicemix-components,47,7
deltaspike,309,112
servicemix,77,1
mahout,513,171
axis2,1516,484
syncope,646,296
wink,138,62
james-jdkim,9,1
shindig,663,101
james-project,389,211
myfaces-portlet-bridge,11,3
sling,6,0
myfaces-tobago,610,170
cassandra,4291,1433
sqoop,376,87
lucene-core,5138,2309
commons-lang,315,36
james-jsieve,16,6
nutch,563,99
hama,96,36
olingo-odata4,205,130
struts1,75,11
incubator,0,0
devicemap,3,0
myfaces,975,202
tapestry4,359,157
tomee,986,422
zeppelin,888,151
struts-sandbox,8,4
storm,964,204
httpasyncclient,45,11
vysper,57,35
aries,703,247
jackrabbit,1413,479
activemq,2118,1084
asterixdb,531,306
ode,318,79
oodt,228,56
tiles,157,59
servicemix-nmr,137,39
rampart,129,27
myfaces-html5,2,0
oltu,41,17
drill,1954,843
cloudstack,2,1
shiro,124,54
pig,1601,614
datafu,21,0
openejb,519,188
zookeeper,871,253
directory-server,357,111
tapestry5,958,424
samza,719,201
oozie,1107,352
ctakes,89,17
xbean,109,25
usergrid,88,49
wss4j,243,96
myfaces-trinidad,759,186
httpclient,365,136
james-imap,94,33
hadoop-map-reduce,468,155
cayenne,589,346
atlas,0,0
ofbiz,2135,129
kafka,1817,469
httpcore,214,58
openmeetings,273,114
solr,5138,2309
pivot,214,74
myfaces-build-tools,19,3
archiva,525,153
falcon,731,201
continuum,606,120
myfaces-extval,12,3
calcite,1171,633
reef,329,58
openjpa,930,490
vxquery,20,7
james-mime4j,70,31
myfaces-tomahawk,462,68
metamodel,99,46
hadoop-hdfs,369,98
james-mailbox,49,13
tuscany,757,330
nifi-minifi,30,8
maven,932,288
stratos,196,57
jackrabbit-filevault,83,36
etch,48,3
camel,3328,1744
flink,2410,891
felix,2292,700
cxf,2689,1060
tajo,564,315
myfaces-test,15,6
openwebbeans,571,313
phoenix,1344,644
log4j2,686,314
ivy,544,168
wave,23,8
manifoldcf,637,53
abdera,104,30
helix,134,83
accumulo,1496,564
avro,624,116
santuario,46,18
ftpserver,138,50
marmotta,164,48
xalanj2,0,0
cocoon,162,18
eagle,200,76
ambari,13904,1591
karaf,1385,196
distributedlog,37,7
gora,117,31
total,134432,43514